DIAS_COMPRANDO,DEVOLUCIONES,TRX_TV,TRX_TF,VALOR_TOTAL,CONTRI,TRX_CON_TR,TRX_CON_EFX,TRX_CON_OTB,FREC_DIARIA,GENERO,EDAD,SEGMENTO,TIENE_TR,SEGMENTO_RFM,NUM_CATEGORIAS,TRX_BLANDOS,TRX_HOME,TRX_PROPIAS,TRX_TERCERAS,TRX_ANTES_5PM,TRX_DESPUES_5PM,TRX_DSCTO,TRX_LUN_JUE,TRX_VIE_DOM,TRX_NAVIDAD,TRX_MAMA,TRX_PAPA,TRX_CYBERS,TRX_DDS,TRX_BTS,TRX_LIQ01,TRX_LIQ02,TRX_CUPONES,UNID_PROD,FR_TIENDA_FAVORITA,TIENDA_FAVORITA,DESV_TICKET,CATEGORIA_FAVORITA,CONTACTABILIDAD,CONSENTIMIENTO,PERIODO_RETENCION,CHURN,valor_total_discreto,devoluciones_discreto,Retencion_range,freq_trx_retencion,prom_valor_por_trx,prom_valor_retencion,var,TRX_PAPA+TRX_CYBERS+TRX_BTS+TRX_NAVIDAD,TRX_CYBERS+TRX_BTS+TRX_NAVIDAD+TRX_LIQ02,TRX_MAMA+TRX_PAPA+TRX_CYBERS+TRX_NAVIDAD,TRX_MAMA+TRX_CYBERS+TRX_NAVIDAD+TRX_LIQ01,TRX_PAPA+TRX_CYBERS+TRX_BTS+TRX_LIQ02,TRX_PAPA+TRX_CYBERS+TRX_NAVIDAD+TRX_LIQ02,TRX_MAMA+TRX_PAPA+TRX_CYBERS+TRX_BTS,TRX_MAMA+TRX_PAPA+TRX_CYBERS+TRX_DDS,TRX_MAMA+TRX_CYBERS+TRX_DDS+TRX_LIQ01,TRX_MAMA+TRX_CYBERS+TRX_NAVIDAD+TRX_LIQ02,TRX_MAMA+TRX_CYBERS+TRX_BTS+TRX_LIQ02,TRX_PAPA+TRX_CYBERS+TRX_DDS+TRX_LIQ01,TRX_MAMA+TRX_CYBERS+TRX_DDS+TRX_NAVIDAD,TRX_MAMA+TRX_CYBERS+TRX_BTS+TRX_NAVIDAD,TRX_PAPA+TRX_CYBERS+TRX_DDS+TRX_NAVIDAD,TRX_MAMA+TRX_CYBERS+TRX_DDS+TRX_BTS,dummy_usan_dscto,discr_trx_dscto,discr_valor_total,discr_contri,sin_tda,devolvio,afiliado,trans_log,ticket_prom_log,suma_compras_log,consentimiento_nulo,edad_nulo,genero_nulo
3,0,0.0,1.0,363.41525,108.94,0.3333,0.0,0.6665,36.34,M,44.0,,SI,R3. HABITUAL,2,1.3330000000000002,0.0,0.6665,0.6665,0.6665,0.3333,0.3333,0.6665,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.6665,1.3330000000000002,0.0,SIN TDA,59.16,HOMBRE,SI,NO,109.0,0.0,alto,no_dev,108-135,0.02753,121.1,1.111,1.111,0.3333,0.3333,0.3333,0.3333,0.0,0.3333,0.0,0.3333,0.3333,0.3333,0.0,0.3333,0.6665,0.3333,0.6665,0.3333,1,0-1,250-350,50-100,1,0,1,1.3869999999999998,4.805,1.099,1,0,0
3,1,0.0,1.25,589.7458,72.94,0.75,0.0,0.25,23.0,F,60.0,PABLOMART,NO,R3. HABITUAL,3,0.75,0.75,0.0,0.75,0.0,1.25,0.0,0.5,0.75,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.25,3.0,SAN MIGUEL,68.9,ELECTROHOGAR,SI,SI,69.0,0.0,alto,muy bajo,54-81,0.07245,117.94,1.709,2.137,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0,0,450-550,0-50,0,1,1,1.609,5.0,1.099,0,0,0
1,0,0.0,1.0,12.542372,-6.51,0.0,1.0,0.0,218.0,F,50.0,PABLOMART,NO,R5. NO FIEL,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,SAN MIGUEL,0.0,DECOHOGAR,NO,NO,0.0,1.0,muy bajo,no_dev,<27,0.0,12.54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,None,-400--50,0,0,1,0.6934,2.605,0.6934,1,0,0
1,0,0.0,1.0,236.8983,95.1,0.0,0.0,1.0,29.0,M,51.0,PABLOMART,NO,R3. HABITUAL,4,8.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,SIN TDA,0.0,AUTOLIQUIDABLES,NO,NO,0.0,0.0,up_int,no_dev,<27,0.0,236.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0-1,150-200,0-50,1,0,1,0.6934,5.473,0.6934,1,0,0
2,0,0.0,1.0,140.33897,26.05,0.0,0.6665,0.3333,108.0,F,27.0,PABLOMART,NO,R4. OCASIONAL,4,1.0,0.3333,0.3333,0.3333,0.0,1.0,0.0,0.6665,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6665,0.3333,0.3333,1.3330000000000002,2.0,BRASIL (LA RAMBLA),23.89,BELLEZA,NO,NO,216.0,0.0,up_int,no_dev,216-243,0.013885,46.78,0.2166,0.2166,0.0,0.3333,0.0,0.6665,0.3333,0.3333,0.0,0.0,0.6665,0.3333,0.3333,0.6665,0.0,0.0,0.0,0.0,0,0,50-100,-50-0,0,0,1,1.3869999999999998,3.867,1.3869999999999998,1,0,0
1,0,0.0,1.0,14.322033,4.46,0.0,1.0,0.0,356.0,F,46.0,,NO,R5. NO FIEL,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,SIN TDA,0.0,AUTOLIQUIDABLES,SI,SI,0.0,0.0,muy bajo,no_dev,<27,0.0,14.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,None,-50-0,1,0,1,0.6934,2.729,0.6934,0,0,0
7,1,0.0,1.143,767.9237,98.2,0.0,0.0,0.857,27.44,M,100.0,,NO,R3. HABITUAL,5,2.428,0.0,0.0,1.857,0.2856,0.857,0.0,0.5713,0.5713,0.0,0.0,0.0,0.1428,0.4285,0.2856,0.1428,0.0,1.0,2.285,0.0,SIN TDA,57.7,DEPORTES,NO,NO,192.0,1.0,alto,muy bajo,189-216,0.04166,96.0,0.5,0.5713,0.4285,0.4285,0.1428,0.2856,0.4285,0.1428,0.4285,0.5713,0.7144,0.1428,0.4285,0.7144,0.5713,0.4285,0.5713,0.857,0,0,550-650,0-50,1,1,1,2.08,4.707,2.08,1,0,0
3,0,0.0,1.0,65.08475,30.3,0.0,0.6665,0.3333,56.34,,,PABLOMART,NO,R4. OCASIONAL,3,0.6665,0.3333,0.0,0.3333,0.3333,0.6665,0.0,0.3333,0.6665,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.6665,1.0,0.0,SIN TDA,9.4,BELLEZA,NO,NO,169.0,1.0,bajo,no_dev,162-189,0.01775,21.69,0.1284,0.1284,0.3333,0.3333,0.3333,0.6665,0.3333,0.3333,0.3333,0.3333,0.6665,0.3333,0.3333,0.6665,0.3333,0.3333,0.3333,0.3333,0,0,<50,-50-0,1,0,0,1.3869999999999998,3.123,1.099,1,1,1
2,0,0.0,1.0,262.28815,127.5,0.0,0.5,0.5,1.0,F,76.0,PABLOMART,NO,R3. HABITUAL,2,2.5,0.0,1.0,1.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,PIURA I,88.94,HOMBRE,SI,NO,2.0,0.0,up_int,no_dev,<27,1.0,131.1,65.56,65.56,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,200-250,50-100,0,0,1,1.099,4.883,1.099,1,0,0
1,0,0.0,1.0,168.81355,40.53,0.0,1.0,0.0,140.0,M,54.0,PABLOMART,SI,R4. OCASIONAL,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,SIN TDA,0.0,CALZADO,SI,NO,0.0,0.0,up_int,no_dev,<27,0.0,168.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0-1,100-150,-50-0,1,0,1,0.6934,5.132999999999999,0.6934,1,0,0
