Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Android Ver
100,1.0,4195,661,Free,0.0,234,1.0350056908465814,481
581,1.0,11235,661,Paid,2.99,4764,0.5791636749133476,582
508,1.0,6505,298,Paid,2.99,4764,0.7266113838562103,761
253,1.0,9,536,Paid,7.49,4764,0.8533021607777932,1317
253,0.0,15,536,Paid,14.99,4764,0.8159314868009344,761
1114,1.0,10,536,Paid,2.99,4764,0.6058622790029287,846
1114,1.0,9199,308,Free,0.0,4764,0.7646239828016619,1317
42,0.0,3280,841,Free,0.0,4764,0.989755675694412,846
581,1.0,104583,841,Free,0.0,4764,0.9406226385489928,381
581,1.0,10748,841,Free,0.0,4764,0.6817893435525484,1317
264,1.0,0,124,Free,0.0,597,0.670851493870639,1317
253,1.0,25,282,Free,0.0,4764,0.8851670293156655,311
1114,0.0,17,536,Free,0.0,4764,0.5514209614322908,25
1114,1.0,367,661,Free,0.0,4764,0.7700684149088448,1317
581,1.0,0,237,Free,0.0,4764,0.8395988130755567,381
508,1.0,0,124,Free,0.0,4764,0.7860366851510238,761
581,1.0,29,536,Free,0.0,189,0.5273218208899105,225
210,0.0,144,623,Free,0.0,597,1.0171774628568402,143
1114,1.0,13,536,Free,0.0,4764,0.44279975021355306,1317
264,1.0,2,536,Free,0.0,597,0.76197776511863,225
119,1.0,0,237,Free,0.0,4764,0.869280986089029,1317
212,0.0,153176,541,Free,0.0,4764,0.8862988110844648,846
508,1.0,11018,308,Free,0.0,4764,0.43036138965949766,1317
219,1.0,7,536,Free,0.0,4764,0.9952699348890995,761
581,1.0,154519,541,Free,0.0,234,1.2344192362530706,381
134,1.0,903,841,Free,0.0,597,1.373784330865398,846
210,1.0,97,623,Free,0.0,4764,0.6712563066862032,1317
264,0.0,78172,541,Free,0.0,4764,0.33472917411768555,582
212,1.0,29203,356,Free,0.0,4764,0.9593986029136199,761
219,1.0,5,536,Free,0.0,4764,0.666237436888988,381
143,1.0,158196,541,Free,0.0,4764,0.4741141885560412,582
162,1.0,46242,841,Free,0.0,4764,0.9011918364096979,761
212,1.0,7264,661,Paid,1.99,4764,1.5763633214069857,582
581,0.0,153,623,Free,0.0,4764,0.5707814749246817,761
1114,1.0,4421,298,Paid,2.99,597,0.35331163178703373,142
49,1.0,120,623,Free,0.0,4764,0.8284170528962506,64
1114,1.0,138050,541,Free,0.0,4764,0.8468768002543346,846
219,1.0,26,536,Free,0.0,597,0.7222586340259279,1317
581,1.0,1123190,541,Free,0.0,597,0.338082370110109,582
219,1.0,82145,116,Free,0.0,4764,0.6210357040735941,481
1114,1.0,13492,661,Free,0.0,597,0.7020425617939257,1317
1114,1.0,2931,661,Free,0.0,4764,0.8309160338799857,225
42,0.0,2496,308,Free,0.0,4764,0.6996276278114368,582
53,1.0,64448,841,Free,0.0,234,0.86226731743597,846
143,1.0,66978,841,Free,0.0,597,0.934546528206867,582
94,1.0,20755,841,Free,0.0,4764,1.2222049782496358,1317
119,1.0,67186,841,Free,0.0,189,0.24813505927330304,164
100,1.0,0,124,Free,0.0,234,0.7186849196400863,1317
204,0.0,252,623,Free,0.0,4764,0.7689847534126667,1317
508,1.0,45610,541,Free,0.0,4764,0.7227650521226532,64
204,0.0,10374,308,Free,0.0,4764,1.2063320485323226,582
264,1.0,4,448,Free,0.0,4764,0.6425697068991373,481
581,1.0,4147718,114,Free,0.0,4764,0.8858368426063596,381
204,1.0,24,536,Free,0.0,4764,0.7832092080954397,1317
1114,1.0,0,124,Free,0.0,4764,0.8028132977324525,761
253,1.0,3,448,Free,0.0,4764,0.9155289848336272,846
195,1.0,1,237,Free,0.0,597,0.4580558608539394,761
1114,1.0,158,623,Free,0.0,4764,0.436528857548337,761
233,1.0,85,623,Free,0.0,4764,0.9699864192728284,1317
253,1.0,1,448,Free,0.0,234,0.3402075371111161,1317
233,1.0,376,298,Free,0.0,4764,0.36495043513266784,481
264,1.0,0,124,Free,0.0,597,0.48856463286327817,142
94,0.0,906384,12,Free,0.0,597,0.4152347534431818,582
219,1.0,10484,841,Free,0.0,4764,0.2871673889312768,1317
46,0.0,15966,841,Free,0.0,4764,0.8389180780784598,381
1114,1.0,288523,541,Free,0.0,4764,1.2113931925765982,761
1114,1.0,32029,356,Free,0.0,4764,0.6983319924635409,1317
1114,0.0,12414,841,Free,0.0,4764,0.4508606618218663,1317
508,1.0,166367,356,Free,0.0,4764,0.353563160514916,381
581,1.0,63680,841,Free,0.0,189,0.9461389944690818,1317
73,1.0,2544,661,Free,0.0,4764,0.3415768858848098,761
134,1.0,725,623,Free,0.0,597,1.2936884640450408,142
74,1.0,50459,356,Free,0.0,4764,0.5174212965223971,582
106,1.0,1315242,116,Free,0.0,4764,0.35783718548010235,1317
143,1.0,145,623,Free,0.0,4764,0.6022083191223656,761
1114,1.0,1647,623,Paid,14.99,4764,0.4694489340265412,381
170,1.0,20161,841,Free,0.0,4764,0.7991083476183559,582
134,0.0,19,282,Free,0.0,597,0.8835543934476267,1317
38,0.0,4976,841,Free,0.0,4764,0.9997324299344132,761
195,1.0,6601,308,Free,0.0,4764,0.7441578707320454,1317
1114,1.0,175509,541,Free,0.0,4764,0.6021191318998164,582
49,0.0,24,536,Free,0.0,4764,0.6484872853418021,64
219,1.0,0,237,Free,0.0,4764,0.5648682293020318,1317
49,1.0,142,623,Free,0.0,4764,1.0414278945768363,64
233,1.0,57904,841,Free,0.0,4764,0.9495780008539828,225
581,0.0,37789,841,Free,0.0,597,1.0742260098615433,1317
581,1.0,260527,541,Free,0.0,4764,0.5770740020027461,761
508,1.0,4594198,114,Free,0.0,4764,0.3713306572532737,582
253,1.0,3,124,Paid,0.99,4764,0.934660271300849,64
253,0.0,214,536,Paid,33.99,4764,0.6213101913430559,761
133,1.0,17878,841,Free,0.0,4764,1.1006568078099774,1317
1114,1.0,38,536,Free,0.0,4764,0.6184482190521052,481
210,1.0,2710,661,Free,0.0,4764,0.5454965470184155,1317
195,1.0,125257,541,Free,0.0,597,0.3852994194047496,1317
508,1.0,139480,356,Free,0.0,4764,0.7774532580884695,1317
1114,1.0,54,536,Paid,19.4,4764,1.211791872071813,225
1114,1.0,21804,841,Paid,0.99,189,1.041022122658807,381
162,1.0,53421,541,Free,0.0,4764,0.9473705792850322,846
1114,1.0,20,190,Free,0.0,4764,1.1534082401983596,381
219,1.0,3829,841,Free,0.0,4764,0.4092772232429197,1317
212,1.0,5,124,Paid,0.99,4764,0.6360599938064675,137
106,1.0,16966,841,Free,0.0,4764,1.187835688359328,846
212,1.0,26,536,Free,0.0,4764,1.232352146274833,846
1114,1.0,4,448,Free,0.0,4764,0.5424655495815489,761
253,1.0,2,124,Paid,0.99,4764,0.7338493651901798,1317
1114,1.0,5,448,Free,0.0,4764,0.1627772911389736,481
106,1.0,31,536,Free,0.0,4764,0.5936306406250222,1317
1114,0.0,576210,116,Free,0.0,4764,0.7757140534607984,164
